Number	totalseconds	writingscore	Q1	Q2	Q4_行1	Q4_行2	Q4_行3	Q4_行4	Q4_行5	Q4_行6	Q4_行7	Q4_行8	Q4_行9	Q4_行10	Q4_行11	Q4_行12	Q4_行13	Q4_行14	Q4_行15	Q4_行16	Q4_行17	Q4_行18	Q4_行19	Q4_行20	Q4_行21	Q4_行22	Q4_行23	Q4_行24	Q4_行25	Q4_行26	Q5_行1	Q5_行2	Q5_行3	Q5_行4	Q5_行5	Q5_行6	Q5_行7	Q5_行8	Q5_行9	Q5_行10	Q5_行11	Q5_行12	Q5_行13	Q5_行14	Q5_行15	Q5_行16	Q5_行17	Q5_行18	Q5_行19	Q5_行20	Q5_行21	Q5_行22
1	100	94.00	1	18	4	3	3	3	4	2	2	2	3	4	4	4	4	2	4	4	2	3	4	4	4	2	4	4	4	4	1	2	2	3	4	1	1	3	4	4	1	1	1	2	2	3	4	5	1	1	1	2
2	228	92.00	2	20	4	4	3	4	3	3	3	3	4	4	3	2	3	2	4	3	4	4	4	3	4	4	4	3	4	4	2	3	2	3	1	1	2	3	2	2	2	2	3	1	3	2	3	4	4	3	1	3
3	190		2	20	2	2	2	3	3	1	2	4	4	2	2	3	3	1	4	3	1	3	2	3	4	1	2	1	4	4	4	3	4	3	3	4	3	5	5	4	4	3	2	2	5	5	3	1	2	1	2	5
4	117	82.00	2	21	1	1	2	3	3	3	3	4	4	2	2	1	2	3	4	3	2	1	1	1	2	2	4	4	4	3	5	5	4	4	3	3	2	1	1	5	5	5	5	4	4	3	3	3	3	2	2	2
5	187	87.00	2	19	3	3	2	2	1	1	4	4	4	4	3	3	3	2	2	2	1	4	4	3	2	1	4	2	4	3	5	4	4	3	5	4	3	2	1	2	2	1	2	1	5	4	3	2	1	5	1	1
6	235	89.00	1	21	4	3	2	4	4	2	1	3	2	4	1	2	4	2	3	1	2	4	3	4	4	1	4	3	3	4	4	2	3	2	3	3	4	3	3	2	2	2	3	3	2	4	4	3	4	4	2	3
7	202	89.00	2	20	4	3	2	4	4	3	2	2	2	4	4	3	4	2	3	3	4	2	4	4	3	4	4	4	3	3	3	4	2	2	3	3	2	3	3	3	4	2	3	4	3	4	3	3	3	4	3	4
8	131	94.00	1	20	3	2	2	3	3	2	2	2	2	3	2	2	2	2	2	4	2	3	3	4	4	4	3	4	3	3	4	3	4	4	4	3	2	2	2	3	4	2	4	4	3	2	4	4	2	2	4	2
9	114	86.00	2	20	3	2	2	3	2	2	3	3	2	3	4	4	2	2	2	4	2	2	2	4	3	3	3	3	1	2	5	5	3	4	4	5	4	4	5	5	5	5	3	3	3	4	3	4	2	4	5	2
10	284	86.00	2	21	4	2	2	4	2	3	1	2	2	3	4	4	2	2	3	1	1	2	4	4	4	4	3	4	4	3	4	2	3	2	2	3	1	3	3	3	3	3	3	3	4	2	3	2	2	2	2	3
11	166	80.00	2	20	2	1	2	4	3	1	4	2	2	2	4	4	2	1	3	4	3	3	3	3	4	4	4	3	4	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	3	4	4	4	4	4
12	506		2	22	3	4	2	3	2	3	2	2	1	4	3	3	2	1	3	4	3	3	4	3	3	2	3	4	3	4	4	3	3	4	3	4	2	3	3	4	4	2	4	4	3	4	3	4	4	4	4	4
13	240	90.00	2	20	2	4	1	4	3	1	3	2	1	3	4	3	4	3	3	1	3	2	2	4	4	3	4	4	2	3	5	4	4	5	5	5	4	4	4	4	4	4	4	4	1	5	4	5	4	5	5	5
14	244	91.00	2	21	4	2	2	3	3	2	2	2	2	3	3	3	3	2	4	3	2	3	4	3	3	4	3	3	3	3	4	3	3	4	2	3	2	4	3	3	2	2	3	3	2	4	4	4	3	4	4	4
15	140	89.00	2	21	3	4	2	4	3	1	2	3	2	2	3	2	4	1	4	1	4	4	4	4	4	4	4	3	3	3	4	3	2	3	3	4	1	3	3	3	1	1	3	3	2	3	4	4	4	3	2	5
16	268	87.00	2	21	4	4	3	4	3	2	3	2	4	3	3	3	3	2	3	2	3	3	3	3	3	4	4	4	3	4	5	5	4	4	4	4	4	3	4	4	2	3	4	4	2	2	2	4	2	3	4	3
17	76	66.00	1	20	1	1	1	1	2	3	3	2	2	2	4	4	4	2	2	2	1	1	1	2	2	2	3	4	1	1	5	5	5	5	5	4	4	4	4	4	3	3	3	3	3	2	2	2	1	1	5	5
18	336	93.00	2	21	4	3	3	3	3	3	2	2	3	4	4	4	3	1	3	4	3	3	4	4	4	4	4	4	3	4	4	2	3	4	4	5	3	4	3	3	3	2	4	3	4	4	2	4	3	4	3	5
19	181	86.00	2	21	4	2	3	4	4	3	4	4	3	4	4	4	4	2	4	4	4	3	4	4	4	4	4	4	3	4	3	3	2	2	2	3	2	2	3	2	2	2	3	2	2	4	4	4	2	4	4	4
20	237	90.00	2	20	4	3	2	3	3	2	2	3	2	3	4	3	3	2	3	3	3	3	3	4	4	4	3	3	3	3	5	4	3	4	4	4	4	3	3	3	3	2	3	3	2	3	4	3	3	3	4	4
21	218	91.00	2	20	2	2	2	4	3	1	1	1	1	4	2	2	2	1	2	2	2	2	2	3	3	3	3	3	2	3	3	3	3	3	3	3	3	4	2	2	3	2	4	3	3	3	2	3	3	2	2	3
22	270	85.00	2	20	3	3	1	3	3	2	2	2	3	3	3	3	2	1	3	2	3	3	4	3	3	3	3	3	3	3	5	4	4	5	4	4	4	4	3	3	3	3	4	4	4	4	3	4	3	4	4	4
23	390	91.00	2	21	4	4	2	4	3	1	1	1	3	4	3	3	4	2	4	4	2	4	4	4	4	4	4	4	2	4	5	5	3	4	4	5	3	2	3	3	2	3	4	4	2	4	2	3	2	3	4	3
24	167	92.00	2	20	4	2	2	4	4	3	2	2	3	4	4	4	4	1	4	4	4	4	4	4	3	2	3	3	3	3	2	4	2	2	2	3	3	4	3	3	4	3	4	4	3	4	3	3	3	4	4	4
25	183	95.00	2	20	4	4	3	4	2	1	3	2	1	4	2	3	4	3	2	3	4	1	4	4	4	3	4	4	2	4	3	1	1	1	1	1	1	1	1	1	1	1	3	3	5	4	1	4	1	1	1	1
26	207	92.00	2	22	4	4	2	4	3	3	3	2	3	4	3	3	3	2	4	4	3	4	4	4	3	3	4	4	4	4	4	4	4	4	4	4	3	4	3	3	4	2	3	3	3	4	3	3	3	3	3	2
27	231	93.00	1	21	4	4	2	4	3	2	1	2	2	4	1	3	3	1	4	3	3	2	4	3	4	3	4	3	3	4	4	3	3	3	2	2	1	2	1	1	1	1	2	3	5	2	4	3	2	3	2	3
28	212	90.00	2	21	3	2	2	3	3	1	2	2	1	1	1	1	4	3	3	4	2	2	2	3	3	2	3	3	3	3	4	4	4	3	3	2	4	3	4	4	4	4	4	2	3	4	3	4	3	4	4	4
29	239	92.00	2	20	4	3	2	3	2	3	3	2	2	3	4	2	3	2	4	4	4	4	4	4	3	4	3	3	3	3	4	3	3	2	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	4	2	4
30	151	77.00	2	20	3	2	2	3	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	5	3	5	4
31	343	85.00	2	22	3	4	3	3	4	3	3	1	1	3	4	4	3	3	4	4	1	1	2	4	4	4	4	4	4	3	4	3	2	4	4	4	4	4	3	4	3	4	4	4	2	4	4	4	3	4	4	4
32	565	90.00	2	19	2	2	1	4	3	1	1	2	1	3	4	3	4	2	4	1	2	2	3	4	3	4	3	4	3	3	3	4	3	3	4	3	3	3	3	3	3	2	2	2	4	3	2	4	2	4	4	3
33	270		1	20	2	2	1	4	2	2	2	2	2	2	3	3	1	1	4	3	2	3	2	4	2	2	2	3	2	2	2	4	1	3	3	4	2	4	4	4	4	2	5	5	1	4	5	4	4	5	4	5
34	165	90.00	2	21	2	4	3	4	4	3	4	4	3	4	4	4	3	1	4	3	4	4	4	4	4	4	4	4	4	4	4	3	1	4	4	4	1	2	3	3	3	3	3	3	3	3	3	4	1	3	3	3
35	449	93.00	2	20	4	4	2	2	3	2	2	2	3	3	3	3	3	2	4	4	3	3	3	4	4	4	4	4	2	2	4	5	3	3	5	4	3	3	3	3	4	3	4	4	2	4	3	4	3	3	5	4
36	321	94.00	2	21	4	4	4	4	2	2	3	3	3	4	4	3	4	1	4	4	3	4	4	4	4	4	4	4	2	4	3	1	1	1	1	3	1	3	1	1	1	1	5	5	4	1	1	1	1	3	1	5
37	292	93.00	2	21	3	4	3	4	4	3	2	1	4	4	3	4	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	5	4	1	3	3	3	2	4	4	2	4	2	2	2	4	4	4
38	908	93.00	2	21	4	4	3	3	3	3	2	2	4	4	3	3	3	1	4	2	4	3	4	4	3	4	4	4	4	4	4	2	3	3	3	3	3	2	2	2	2	2	3	2	3	3	2	2	2	2	2	3
39	117	88.00	1	21	4	3	3	3	3	1	2	3	3	4	3	4	3	2	4	3	4	4	4	4	4	4	4	4	4	4	5	3	4	4	3	4	3	3	3	3	3	3	3	3	4	3	3	4	3	3	4	3
40	170	90.00	2	21	4	4	4	3	4	2	1	1	2	2	3	4	3	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	4	2	5	5	5	5	5	5	4	5	2	3	3	4	5	3
41	250	94.00	2	20	4	3	2	4	3	2	2	3	3	4	4	4	1	1	4	4	4	4	4	4	4	4	3	3	4	4	3	5	1	4	4	4	2	4	3	3	3	1	3	2	4	4	2	4	4	3	4	4
42	405	94.00	2	21	4	4	2	4	3	3	4	2	2	4	4	4	2	2	4	4	4	4	4	4	4	4	4	4	3	4	3	3	2	4	3	3	3	3	4	4	4	4	4	4	3	3	3	4	4	4	3	4
43	198	92.00	2	20	4	4	3	4	3	2	2	2	2	4	3	4	4	1	4	4	4	3	4	4	4	4	4	4	3	4	5	4	3	4	4	4	3	3	5	4	4	3	3	4	2	4	5	5	4	4	4	5
44	359	83.00	2	20	4	4	2	4	4	1	2	2	1	4	4	2	3	1	4	4	3	4	4	4	4	4	3	4	4	4	5	4	5	4	5	5	5	2	3	3	4	3	3	3	3	5	5	2	2	4	2	5
45	172	83.00	2	20	1	3	1	3	3	3	3	1	1	4	4	4	4	1	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	2	2	4	4	2	4	4	2	4	2
46	207	85.00	2	21	4	4	2	4	3	2	3	2	3	3	3	4	2	1	3	3	2	2	3	4	4	4	4	4	3	4	3	3	3	3	3	2	1	2	1	1	1	1	3	3	4	2	2	2	2	2	3	3
47	270	84.00	1	21	2	4	1	4	4	2	2	2	2	2	4	2	2	2	2	2	2	2	2	4	3	4	4	4	4	2	4	3	3	4	4	4	4	3	4	4	4	4	4	4	2	3	2	3	2	2	2	3
48	191	86.00	2	21	4	4	2	4	3	2	2	2	2	4	4	3	4	2	4	4	3	3	4	4	4	4	4	4	3	4	4	3	4	4	4	3	3	3	2	2	2	2	3	3	3	4	4	4	4	4	3	4
49	252	93.00	1	18	3	4	3	4	2	3	2	2	2	4	3	3	3	1	3	3	3	3	3	4	4	3	3	4	2	3	4	4	3	3	3	3	3	4	3	3	4	2	3	4	2	4	4	4	4	4	4	4
